User_ID,Session_ID,Page_Visited,Time_Spent_Seconds,Bounce,Traffic_Source,Device_Type,Country,Conversion
9226,48,Checkout,146,No,Referral,Desktop,India,Yes
4152,49,Product,138,No,Organic,Mobile,India,No
2585,50,Product,449,No,Referral,Desktop,UK,Yes
4943,51,Contact,292,No,Direct,Tablet,India,No
8555,52,Home,262,Yes,Organic,Mobile,India,No
4073,53,Cart,43,No,Social Media,Desktop,USA,No
2021,54,Blog,309,No,Organic,Mobile,Germany,No
4843,55,Home,287,No,Paid Ads,Desktop,USA,No
8989,56,Contact,530,No,Social Media,Mobile,Canada,No
7873,57,Contact,411,Yes,Paid Ads,Desktop,India,No
6675,58,Checkout,363,Yes,Social Media,Mobile,Canada,No
1161,59,Blog,382,No,Organic,Mobile,Germany,Yes
5297,60,Contact,473,No,Paid Ads,Tablet,Germany,No
1995,61,Cart,285,No,Social Media,Mobile,UK,No
8629,62,Home,569,No,Referral,Mobile,UK,No
2016,63,Cart,15,No,Paid Ads,Desktop,USA,No
8869,64,Checkout,190,No,Direct,Mobile,India,No
7439,65,Home,553,No,Social Media,Mobile,Canada,No
8892,66,Checkout,13,Yes,Referral,Desktop,UK,No
7863,67,Blog,32,No,Referral,Desktop,Germany,No
8916,68,Blog,468,Yes,Organic,Mobile,Germany,No
9529,69,Cart,515,Yes,Organic,Mobile,UK,No
1878,70,Cart,506,Yes,Paid Ads,Desktop,Germany,No
5887,71,Blog,586,No,Paid Ads,Desktop,India,No
5859,72,Product,222,Yes,Direct,Desktop,India,No
7331,73,Blog,433,No,Referral,Mobile,USA,Yes
9571,74,Home,7,No,Social Media,Desktop,India,No
9684,75,Checkout,191,No,Direct,Desktop,UK,Yes
8208,76,Blog,47,No,Direct,Mobile,UK,Yes
6276,77,Blog,415,Yes,Direct,Tablet,India,No
3062,78,Contact,194,No,Social Media,Mobile,UK,No
1064,79,Checkout,46,No,Direct,Mobile,USA,No
9006,80,Contact,101,No,Organic,Mobile,USA,No
3568,81,Checkout,521,No,Organic,Desktop,Germany,No
6463,82,Home,140,No,Organic,Mobile,USA,No
3027,83,Checkout,514,No,Direct,Mobile,Canada,No
3695,84,Cart,523,No,Direct,Desktop,India,No
6258,85,Blog,41,Yes,Referral,Desktop,UK,No
6618,86,Checkout,583,No,Paid Ads,Mobile,UK,No
7736,87,Home,521,No,Referral,Mobile,USA,Yes
1391,88,Checkout,62,Yes,Organic,Desktop,USA,Yes
6892,89,Blog,159,No,Paid Ads,Tablet,USA,Yes
4561,90,Product,117,No,Referral,Mobile,UK,No
7184,91,Checkout,464,No,Social Media,Desktop,Canada,Yes
4099,92,Cart,446,No,Social Media,Mobile,UK,No
7278,93,Blog,232,No,Social Media,Mobile,USA,No
9392,94,Home,583,No,Organic,Mobile,Canada,No
4104,95,Blog,126,Yes,Paid Ads,Desktop,USA,Yes
8215,96,Contact,361,No,Organic,Mobile,Canada,No
3454,97,Product,272,Yes,Social Media,Mobile,USA,No
9996,98,Home,489,No,Direct,Desktop,Canada,No
3731,99,Product,8,No,Organic,Mobile,India,No
9154,100,Product,482,No,Paid Ads,Mobile,Canada,No
6056,101,Cart,125,No,Organic,Mobile,USA,No
9110,102,Checkout,490,No,Paid Ads,Mobile,Germany,No
4840,103,Cart,223,Yes,Direct,Desktop,USA,No
2028,104,Cart,282,No,Referral,Mobile,Germany,No
8385,105,Contact,261,Yes,Paid Ads,Desktop,UK,No
1502,106,Cart,308,No,Paid Ads,Mobile,Canada,No
7910,107,Home,47,Yes,Social Media,Mobile,Canada,No
7938,108,Checkout,534,No,Social Media,Mobile,USA,No
5488,109,Checkout,592,Yes,Direct,Tablet,UK,No
1206,110,Home,154,Yes,Organic,Tablet,USA,No
6134,111,Cart,598,Yes,Referral,Mobile,India,No
6977,112,Cart,14,No,Referral,Mobile,India,No
8721,113,Product,216,Yes,Direct,Mobile,Germany,No
8035,114,Product,264,No,Referral,Mobile,Canada,No
2484,115,Contact,386,No,Organic,Mobile,Germany,No
8858,116,Blog,393,No,Social Media,Desktop,Germany,No
1863,117,Product,340,No,Direct,Mobile,Canada,Yes
3790,118,Checkout,9,No,Referral,Desktop,India,No
8408,119,Home,87,No,Direct,Mobile,Germany,No
9755,120,Cart,10,No,Direct,Desktop,Canada,No
6116,121,Blog,156,No,Paid Ads,Desktop,India,No
7019,122,Product,185,No,Paid Ads,Desktop,Canada,No
2757,123,Blog,171,No,Direct,Desktop,Canada,No
8574,124,Home,474,No,Paid Ads,Desktop,USA,No
7374,125,Home,82,Yes,Referral,Desktop,India,No
7892,126,Blog,416,No,Direct,Mobile,Germany,Yes
2678,127,Blog,558,No,Paid Ads,Mobile,Canada,No
4242,128,Contact,578,No,Referral,Tablet,USA,No
5636,129,Blog,385,Yes,Social Media,Desktop,UK,No
2059,130,Cart,317,No,Social Media,Mobile,UK,No
7668,131,Checkout,399,No,Direct,Mobile,USA,No
4157,132,Product,547,Yes,Organic,Desktop,India,No
6915,133,Product,8,No,Referral,Tablet,UK,No
3693,134,Product,113,No,Direct,Mobile,Germany,No
4627,135,Blog,97,No,Paid Ads,Desktop,USA,No
6450,136,Blog,103,No,Social Media,Mobile,Canada,No
2663,137,Contact,196,No,Paid Ads,Mobile,USA,No
6592,138,Blog,337,No,Referral,Mobile,Germany,No
8392,139,Contact,216,Yes,Direct,Mobile,USA,No
2306,140,Contact,599,No,Social Media,Mobile,Germany,No
7776,141,Cart,211,Yes,Referral,Mobile,Germany,No
6864,142,Cart,577,Yes,Social Media,Mobile,USA,Yes
8526,143,Cart,360,No,Social Media,Mobile,USA,No
9901,144,Cart,257,Yes,Direct,Mobile,USA,No
6575,145,Home,595,No,Direct,Tablet,Canada,No
6530,146,Cart,200,No,Organic,Mobile,Canada,No
5413,147,Cart,266,No,Organic,Mobile,Germany,No
4748,148,Cart,326,Yes,Organic,Mobile,UK,No
1663,149,Contact,424,No,Organic,Mobile,USA,No
2998,150,Product,502,No,Paid Ads,Mobile,UK,No
8994,151,Product,336,Yes,Organic,Mobile,India,No
2495,152,Product,300,No,Paid Ads,Desktop,India,No
4304,153,Checkout,240,No,Social Media,Mobile,USA,No
4763,154,Home,11,No,Paid Ads,Mobile,India,No
6232,155,Contact,538,No,Social Media,Mobile,UK,Yes
2853,156,Blog,76,No,Organic,Mobile,India,No
7585,157,Contact,504,No,Paid Ads,Tablet,USA,No
2291,158,Cart,143,No,Social Media,Mobile,Germany,No
4581,159,Product,390,No,Organic,Mobile,Canada,No
8554,160,Contact,546,No,Social Media,Mobile,Canada,No
8280,161,Home,328,No,Direct,Desktop,Canada,No
2636,162,Cart,77,No,Social Media,Mobile,Germany,Yes
4696,163,Checkout,393,Yes,Organic,Mobile,India,Yes
1698,164,Blog,242,No,Referral,Desktop,Canada,Yes
5737,165,Cart,326,No,Direct,Desktop,UK,No
1854,166,Blog,345,No,Paid Ads,Mobile,India,No
9164,167,Contact,309,Yes,Direct,Desktop,Germany,No
6855,168,Cart,12,No,Organic,Mobile,Canada,No
8392,169,Checkout,211,No,Social Media,Mobile,India,No
7528,170,Contact,415,Yes,Referral,Desktop,Germany,No
6249,171,Home,262,Yes,Organic,Mobile,USA,No
6172,172,Blog,50,No,Social Media,Desktop,Canada,Yes
2707,173,Blog,130,No,Organic,Desktop,USA,No
6791,174,Home,25,No,Referral,Tablet,USA,No
6535,175,Blog,174,No,Social Media,Mobile,Canada,No
5931,176,Contact,548,No,Referral,Mobile,UK,No
4510,177,Product,420,No,Social Media,Mobile,USA,No
1202,178,Home,459,No,Direct,Desktop,Germany,Yes
5218,179,Checkout,210,Yes,Organic,Mobile,UK,No
9958,180,Cart,337,No,Paid Ads,Mobile,USA,No
5389,181,Cart,25,Yes,Paid Ads,Desktop,USA,No
3327,182,Home,69,No,Organic,Mobile,Canada,No
9004,183,Product,581,No,Paid Ads,Mobile,Canada,No
3931,184,Contact,92,No,Referral,Mobile,India,No
8777,185,Checkout,483,Yes,Paid Ads,Mobile,Canada,Yes
1197,186,Cart,47,Yes,Organic,Desktop,Canada,No
8125,187,Cart,145,Yes,Direct,Mobile,India,Yes
2930,188,Contact,378,No,Organic,Mobile,UK,No
7287,189,Product,520,No,Organic,Desktop,India,No
9800,190,Blog,504,Yes,Social Media,Mobile,Canada,Yes
5282,191,Home,283,No,Paid Ads,Desktop,UK,No
3511,192,Product,330,No,Paid Ads,Mobile,India,No
1659,193,Product,422,No,Social Media,Mobile,India,No
3811,194,Product,557,No,Referral,Desktop,India,No
8098,195,Product,312,No,Referral,Mobile,Canada,No
7546,196,Blog,311,No,Social Media,Mobile,USA,Yes
2986,197,Contact,474,Yes,Paid Ads,Mobile,India,No
9338,198,Checkout,188,Yes,Referral,Mobile,UK,No
3911,199,Product,295,No,Referral,Mobile,Canada,No
2734,200,Product,253,No,Direct,Mobile,UK,No
2843,201,Home,328,No,Referral,Mobile,USA,No
9680,202,Cart,447,Yes,Paid Ads,Mobile,UK,No
3976,203,Blog,63,Yes,Direct,Tablet,India,No
2959,204,Product,273,No,Direct,Mobile,UK,No
6759,205,Checkout,322,Yes,Paid Ads,Desktop,UK,No
7694,206,Checkout,98,No,Social Media,Mobile,Canada,No
3385,207,Checkout,258,No,Organic,Desktop,UK,No
5736,208,Home,464,Yes,Referral,Mobile,Germany,No
2802,209,Checkout,519,No,Social Media,Desktop,Germany,No
9155,210,Contact,537,No,Organic,Desktop,Canada,No
9120,211,Home,108,No,Paid Ads,Mobile,Germany,No
7616,212,Blog,406,Yes,Referral,Mobile,Canada,No
6534,213,Checkout,337,Yes,Social Media,Desktop,UK,Yes
5061,214,Cart,97,Yes,Organic,Desktop,Canada,No
1262,215,Product,561,No,Paid Ads,Mobile,Germany,No
7287,216,Blog,578,No,Direct,Mobile,India,Yes
9815,217,Contact,546,No,Direct,Mobile,India,No
3049,218,Cart,441,Yes,Direct,Desktop,Germany,No
6423,219,Blog,14,Yes,Paid Ads,Mobile,India,No
5548,220,Contact,460,No,Organic,Mobile,Canada,No
4108,221,Checkout,419,No,Paid Ads,Mobile,Germany,No
8158,222,Blog,522,No,Direct,Desktop,USA,No
8400,223,Blog,379,No,Paid Ads,Desktop,UK,No
4170,224,Blog,535,No,Referral,Mobile,USA,No
3255,225,Home,528,Yes,Organic,Mobile,Canada,No
2154,226,Cart,377,No,Referral,Mobile,Germany,No
5499,227,Contact,443,Yes,Direct,Mobile,UK,No
7295,228,Checkout,199,No,Organic,Desktop,USA,Yes
7197,229,Product,269,No,Referral,Mobile,Canada,No
2648,230,Checkout,511,Yes,Paid Ads,Mobile,Canada,No
6539,231,Checkout,430,No,Social Media,Mobile,India,Yes
5199,232,Home,103,No,Paid Ads,Mobile,UK,No
9445,233,Home,34,Yes,Direct,Mobile,UK,No
3557,234,Blog,295,No,Social Media,Desktop,USA,No
6592,235,Checkout,579,No,Organic,Desktop,UK,No
1098,236,Cart,491,Yes,Social Media,Mobile,USA,No
3200,237,Home,410,No,Organic,Mobile,Germany,No
3961,238,Contact,32,No,Referral,Mobile,Germany,No
5973,239,Home,150,No,Referral,Desktop,Germany,No
5433,240,Cart,292,No,Referral,Tablet,USA,No
3869,241,Home,585,Yes,Referral,Mobile,USA,No
1956,242,Cart,256,No,Referral,Tablet,Germany,No
9352,243,Product,166,No,Social Media,Mobile,Germany,No
6699,244,Cart,114,Yes,Organic,Mobile,UK,Yes
7944,245,Product,402,No,Referral,Desktop,UK,No
5493,246,Contact,275,No,Referral,Mobile,USA,No
5911,247,Blog,192,No,Organic,Mobile,India,No
4987,248,Blog,536,No,Social Media,Mobile,India,No
7015,249,Home,280,No,Referral,Mobile,UK,No
2218,250,Cart,251,Yes,Social Media,Mobile,Canada,Yes
5496,251,Home,328,Yes,Referral,Desktop,India,No
5735,252,Cart,22,Yes,Social Media,Desktop,USA,No
5555,253,Home,412,No,Direct,Tablet,Canada,No
9050,254,Blog,415,Yes,Referral,Mobile,USA,Yes
4446,255,Contact,129,No,Referral,Mobile,UK,Yes
2045,256,Blog,324,Yes,Paid Ads,Tablet,USA,No
7893,257,Home,157,Yes,Paid Ads,Desktop,India,No
2693,258,Cart,585,No,Social Media,Mobile,Germany,No
4436,259,Checkout,561,No,Paid Ads,Mobile,USA,Yes
9754,260,Contact,24,No,Social Media,Mobile,India,No
6895,261,Cart,251,Yes,Referral,Tablet,Germany,No
4354,262,Home,394,Yes,Referral,Mobile,USA,No
1225,263,Cart,351,No,Direct,Mobile,Canada,No
5893,264,Product,480,Yes,Direct,Desktop,USA,No
8022,265,Cart,207,No,Paid Ads,Tablet,USA,No
6600,266,Blog,13,No,Referral,Mobile,USA,No
8996,267,Blog,535,Yes,Social Media,Tablet,Canada,No
8683,268,Product,107,No,Paid Ads,Mobile,USA,Yes
5642,269,Contact,250,No,Direct,Desktop,Canada,No
8679,270,Cart,323,No,Organic,Tablet,USA,No
9208,271,Contact,355,No,Social Media,Mobile,Germany,No
8339,272,Checkout,238,No,Organic,Mobile,Germany,No
3205,273,Cart,41,No,Paid Ads,Desktop,Canada,No
2069,274,Blog,349,No,Paid Ads,Mobile,Germany,No
4444,275,Blog,296,No,Organic,Mobile,USA,No
2060,276,Contact,21,No,Paid Ads,Mobile,India,No
3327,277,Home,94,Yes,Paid Ads,Desktop,India,No
4420,278,Blog,352,No,Referral,Mobile,USA,No
1301,279,Home,448,No,Social Media,Desktop,Germany,No
1606,280,Blog,257,No,Direct,Mobile,UK,No
4170,281,Blog,597,Yes,Referral,Desktop,India,No
1699,282,Checkout,188,Yes,Paid Ads,Mobile,Germany,No
6088,283,Home,294,No,Direct,Mobile,Canada,No
1190,284,Home,219,No,Paid Ads,Mobile,Germany,Yes
1980,285,Blog,162,No,Social Media,Desktop,India,No
3975,286,Home,397,No,Paid Ads,Desktop,UK,No
7102,287,Blog,24,No,Organic,Tablet,UK,No
2184,288,Blog,475,No,Organic,Mobile,India,No
4327,289,Contact,435,Yes,Organic,Tablet,USA,No
4394,290,Cart,72,Yes,Organic,Mobile,India,Yes
9319,291,Home,81,No,Direct,Mobile,Canada,No
2816,292,Product,106,No,Organic,Mobile,Germany,No
6854,293,Contact,589,Yes,Paid Ads,Desktop,India,Yes
7709,294,Home,211,Yes,Referral,Desktop,Canada,No
1569,295,Home,217,No,Paid Ads,Mobile,USA,No
6442,296,Checkout,83,No,Paid Ads,Mobile,UK,No
2895,297,Product,117,No,Paid Ads,Mobile,USA,No
3733,298,Product,137,No,Paid Ads,Tablet,India,No
4863,299,Checkout,201,Yes,Referral,Mobile,UK,No
8455,300,Checkout,29,No,Organic,Desktop,Germany,No
5014,301,Home,476,Yes,Social Media,Mobile,India,No
2686,302,Cart,547,No,Direct,Tablet,UK,No
4009,303,Checkout,294,Yes,Referral,Desktop,India,No
8806,304,Product,260,No,Referral,Mobile,Germany,No
1154,305,Product,210,No,Referral,Mobile,India,No
2409,306,Home,479,No,Direct,Tablet,Canada,No
1784,307,Cart,72,Yes,Paid Ads,Mobile,USA,No
9096,308,Blog,219,No,Direct,Mobile,India,No
8560,309,Checkout,426,No,Referral,Mobile,Canada,No
8343,310,Checkout,562,No,Paid Ads,Mobile,Canada,No
8206,311,Home,585,No,Referral,Desktop,India,No
6596,312,Contact,543,Yes,Social Media,Desktop,UK,No
6801,313,Contact,466,No,Organic,Desktop,UK,Yes
3806,314,Cart,459,Yes,Organic,Mobile,USA,No
1537,315,Product,305,Yes,Referral,Mobile,UK,No
6986,316,Product,292,Yes,Paid Ads,Desktop,Germany,No
2841,317,Blog,6,Yes,Social Media,Desktop,India,No
9716,318,Product,24,No,Social Media,Mobile,UK,No
7971,319,Contact,481,No,Paid Ads,Tablet,Germany,No
6625,320,Contact,495,No,Paid Ads,Desktop,Germany,No
3950,321,Checkout,261,No,Social Media,Mobile,Canada,No
8992,322,Blog,457,No,Organic,Tablet,UK,No
5780,323,Cart,442,Yes,Organic,Tablet,USA,No
3368,324,Blog,402,No,Social Media,Tablet,Germany,No
7655,325,Cart,157,No,Direct,Desktop,UK,No
9173,326,Contact,226,No,Social Media,Mobile,India,Yes
5495,327,Product,440,No,Referral,Tablet,USA,No
7002,328,Home,140,No,Direct,Desktop,UK,No
7614,329,Blog,532,No,Paid Ads,Desktop,India,No
6919,330,Blog,283,Yes,Social Media,Tablet,Germany,No
1853,331,Checkout,589,No,Social Media,Mobile,Germany,No
5146,332,Checkout,489,Yes,Direct,Tablet,India,No
4769,333,Contact,550,No,Social Media,Desktop,UK,No
1574,334,Cart,249,No,Referral,Mobile,Germany,No
2148,335,Home,22,No,Organic,Desktop,UK,No
7293,336,Checkout,560,No,Social Media,Desktop,Germany,No
7457,337,Checkout,147,No,Organic,Mobile,Canada,No
8509,338,Product,505,Yes,Paid Ads,Tablet,Germany,No
5777,339,Product,531,Yes,Paid Ads,Mobile,Germany,No
4854,340,Contact,97,Yes,Social Media,Tablet,Canada,No
3491,341,Contact,387,No,Paid Ads,Desktop,USA,No
4124,342,Checkout,283,No,Social Media,Tablet,Canada,No
6691,343,Cart,453,No,Organic,Mobile,USA,No
4051,344,Home,587,No,Direct,Desktop,Germany,No
1004,345,Checkout,292,No,Social Media,Desktop,USA,No
6222,346,Cart,480,No,Direct,Desktop,India,Yes
6315,347,Cart,175,No,Organic,Mobile,India,No
5869,348,Checkout,529,No,Organic,Tablet,India,No
1876,349,Cart,376,Yes,Direct,Tablet,Canada,No
8027,350,Blog,397,Yes,Social Media,Mobile,India,No
5142,351,Cart,189,Yes,Direct,Mobile,UK,No
7966,352,Checkout,514,No,Social Media,Mobile,India,Yes
8079,353,Cart,436,No,Social Media,Mobile,Germany,No
8987,354,Checkout,213,No,Direct,Mobile,India,Yes
7799,355,Product,333,No,Organic,Desktop,USA,No
5465,356,Checkout,365,No,Referral,Mobile,Germany,No
1635,357,Cart,448,No,Paid Ads,Desktop,Germany,No
2693,358,Checkout,445,No,Referral,Desktop,India,No
5752,359,Home,373,No,Organic,Mobile,USA,No
9311,360,Checkout,110,No,Paid Ads,Mobile,Germany,No
1830,361,Checkout,329,Yes,Direct,Desktop,Germany,No
6177,362,Home,236,Yes,Referral,Mobile,UK,No
9932,363,Home,253,No,Social Media,Desktop,Canada,No
9308,364,Home,321,Yes,Organic,Desktop,USA,No
6949,365,Contact,268,No,Organic,Mobile,India,No
3838,366,Blog,507,No,Organic,Mobile,Germany,No
2150,367,Contact,267,No,Referral,Mobile,Germany,Yes
8560,368,Checkout,420,No,Social Media,Mobile,Canada,No
2931,369,Contact,74,No,Referral,Desktop,India,No
2664,370,Contact,238,Yes,Social Media,Mobile,UK,Yes
2081,371,Home,436,No,Paid Ads,Mobile,UK,No
1512,372,Home,58,No,Direct,Mobile,USA,No
8805,373,Product,174,Yes,Organic,Desktop,Canada,No
6237,374,Contact,40,Yes,Social Media,Mobile,Canada,No
1559,375,Blog,263,No,Referral,Mobile,Germany,No
4672,376,Checkout,255,No,Referral,Mobile,Germany,No
8404,377,Cart,17,Yes,Organic,Desktop,Germany,No
4343,378,Blog,545,No,Organic,Mobile,Germany,No
5070,379,Blog,61,No,Organic,Desktop,India,No
1580,380,Product,165,No,Paid Ads,Mobile,India,No
8004,381,Checkout,441,No,Direct,Mobile,USA,No
9130,382,Checkout,234,No,Social Media,Tablet,UK,No
4147,383,Home,197,No,Organic,Mobile,USA,No
5249,384,Home,361,No,Social Media,Mobile,Germany,No
2679,385,Blog,356,No,Referral,Mobile,Canada,No
4506,386,Product,262,No,Direct,Mobile,India,No
8253,387,Checkout,297,No,Direct,Mobile,India,No
3744,388,Product,390,No,Social Media,Desktop,India,No
6188,389,Cart,238,No,Referral,Desktop,India,No
3141,390,Checkout,300,Yes,Referral,Desktop,Canada,No
7617,391,Home,541,No,Paid Ads,Desktop,USA,Yes
3479,392,Blog,383,No,Organic,Mobile,India,No
7484,393,Product,214,No,Referral,Mobile,Germany,No
8421,394,Home,543,No,Organic,Mobile,Germany,No
5452,395,Blog,182,Yes,Organic,Mobile,USA,No
6881,396,Home,560,No,Social Media,Mobile,USA,No
7665,397,Checkout,76,Yes,Organic,Desktop,USA,No
3849,398,Product,512,No,Social Media,Mobile,USA,No
8390,399,Cart,226,No,Direct,Mobile,Canada,No
7905,400,Contact,232,Yes,Referral,Tablet,India,No
3489,401,Home,237,Yes,Social Media,Mobile,Canada,Yes
5611,402,Contact,272,No,Paid Ads,Mobile,Canada,No
3839,403,Product,258,No,Social Media,Tablet,India,No
9527,404,Checkout,10,Yes,Organic,Mobile,Canada,No
6878,405,Home,51,No,Paid Ads,Mobile,USA,Yes
7303,406,Checkout,411,No,Organic,Mobile,UK,No
1851,407,Cart,584,No,Paid Ads,Mobile,Germany,Yes
2687,408,Cart,258,Yes,Social Media,Mobile,USA,No
7833,409,Blog,453,Yes,Organic,Mobile,USA,No
3427,410,Blog,63,No,Social Media,Mobile,India,No
5000,411,Blog,397,No,Referral,Desktop,UK,No
6052,412,Checkout,564,No,Paid Ads,Desktop,India,Yes
3738,413,Blog,195,No,Direct,Mobile,USA,No
6732,414,Product,269,No,Direct,Mobile,Canada,No
6387,415,Contact,562,Yes,Social Media,Desktop,Germany,No
9002,416,Contact,147,No,Paid Ads,Mobile,Germany,No
6536,417,Checkout,250,Yes,Paid Ads,Desktop,USA,No
4913,418,Checkout,220,No,Social Media,Mobile,India,Yes
2066,419,Blog,441,No,Direct,Mobile,UK,No
8723,420,Contact,480,No,Referral,Mobile,UK,No
5380,421,Contact,388,No,Direct,Tablet,USA,No
5107,422,Blog,551,No,Organic,Mobile,UK,No
6726,423,Checkout,419,Yes,Direct,Mobile,India,No
4373,424,Cart,136,Yes,Organic,Mobile,UK,No
9945,425,Cart,402,No,Organic,Mobile,India,No
3082,426,Blog,511,No,Referral,Mobile,USA,No
9967,427,Cart,157,No,Referral,Desktop,UK,No
7748,428,Product,564,No,Direct,Mobile,India,No
1417,429,Product,172,No,Social Media,Desktop,Canada,No
9306,430,Product,234,No,Direct,Mobile,UK,Yes
9808,431,Checkout,408,Yes,Referral,Mobile,Germany,No
4974,432,Checkout,148,No,Organic,Tablet,UK,No
4267,433,Checkout,535,No,Organic,Mobile,UK,No
1825,434,Checkout,72,No,Social Media,Tablet,Canada,No
8668,435,Checkout,102,No,Direct,Desktop,UK,No
6745,436,Blog,11,No,Social Media,Mobile,UK,No
1412,437,Cart,181,No,Social Media,Mobile,USA,No
8543,438,Blog,210,No,Direct,Desktop,USA,No
8587,439,Cart,303,No,Paid Ads,Desktop,India,Yes
1728,440,Blog,233,No,Direct,Mobile,Germany,No
8164,441,Product,274,No,Social Media,Mobile,UK,No
9867,442,Home,85,Yes,Paid Ads,Desktop,USA,Yes
6988,443,Checkout,192,No,Social Media,Desktop,India,Yes
3504,444,Home,505,Yes,Social Media,Mobile,Canada,No
3967,445,Home,491,No,Social Media,Mobile,Germany,No
3786,446,Product,492,No,Organic,Mobile,Canada,No
2122,447,Home,482,Yes,Direct,Mobile,India,No
5079,448,Home,293,No,Referral,Mobile,Canada,No
2571,449,Product,110,Yes,Organic,Desktop,UK,No
6073,450,Cart,580,Yes,Direct,Mobile,Canada,No
6104,451,Blog,227,Yes,Organic,Desktop,USA,No
3143,452,Contact,386,No,Direct,Tablet,USA,No
7806,453,Home,108,Yes,Paid Ads,Mobile,Canada,No
8357,454,Checkout,118,Yes,Referral,Desktop,Germany,No
4440,455,Product,512,Yes,Paid Ads,Tablet,USA,No
4766,456,Home,59,Yes,Paid Ads,Desktop,Canada,No
6644,457,Contact,125,Yes,Direct,Mobile,UK,Yes
3914,458,Cart,221,No,Social Media,Desktop,USA,No
5968,459,Cart,7,No,Social Media,Desktop,USA,No
6917,460,Contact,96,No,Social Media,Mobile,Canada,Yes
9787,461,Checkout,411,Yes,Social Media,Mobile,Canada,No
1728,462,Home,445,No,Referral,Desktop,Canada,No
2365,463,Checkout,436,No,Paid Ads,Mobile,Germany,No
5492,464,Cart,65,No,Organic,Tablet,USA,No
1698,465,Cart,477,No,Referral,Tablet,UK,No
8186,466,Blog,251,Yes,Direct,Mobile,UK,No
1395,467,Cart,376,No,Referral,Desktop,India,No
8400,468,Product,293,No,Referral,Mobile,Canada,No
9082,469,Blog,594,No,Direct,Mobile,India,No
5171,470,Checkout,28,No,Organic,Tablet,India,No
5360,471,Cart,410,No,Paid Ads,Mobile,Germany,No
3502,472,Contact,312,No,Referral,Mobile,Germany,No
1717,473,Product,376,No,Direct,Desktop,Canada,No
3782,474,Blog,219,No,Direct,Mobile,Canada,No
5946,475,Product,266,No,Organic,Desktop,Canada,Yes
6486,476,Blog,350,Yes,Referral,Tablet,UK,No
9335,477,Blog,417,No,Direct,Mobile,Canada,No
5980,478,Blog,127,No,Organic,Mobile,UK,Yes
8266,479,Contact,324,No,Organic,Mobile,India,No
5491,480,Checkout,341,No,Direct,Tablet,Canada,No
8192,481,Blog,162,No,Direct,Mobile,USA,No
6588,482,Blog,331,No,Referral,Mobile,UK,No
8651,483,Product,69,No,Referral,Mobile,Canada,No
